Serial_No,Parliament_Constituency,Party_ID,Constituency_ID,Constituency_Name,Winning_Candidate,Total_Votes,Margin
151,JHALAWAR-BARAN(25),369,S2025,JHALAWAR-BARAN,DUSHYANT SINGH,865376,370989
4,JHANJHARPUR(7),805,S047,JHANJHARPUR,RAMPRIT MANDAL,533032,184169
174,JHANSI(46),369,S2446,JHANSI,ANURAG SHARMA,690316,102614
22,JHARGRAM(33),140,S2533,JHARGRAM,KALIPADA SAREN (KHERWAL),743478,174048
64,JHUNJHUNU(4),742,S204,JHUNJHUNU,BRIJENDRA SINGH OLA,553168,18235
144,JODHPUR(16),369,S2016,JODHPUR,GAJENDRA SINGH SHEKHAWAT,730056,115677
3,JORHAT(14),742,S0314,JORHAT,GAURAV GOGOI,751771,144393
10,JOYNAGAR(19),140,S2519,JOYNAGAR,PRATIMA MONDAL,894312,470219
39,JUNAGADH(13),369,S0613,JUNAGADH,CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494
28,KACHCHH(1),369,S061,KACHCHH,CHAVDA VINOD LAKHAMSHI,659574,268782
2,KADAPA(21),1888,S0121,KADAPA,Y. S. AVINASH REDDY,605143,62695
1,KAIRANA(2),1680,S242,KAIRANA,IQRA CHOUDHARY,528013,69116
177,KAISERGANJ(57),369,S2457,KAISERGANJ,KARAN BHUSHAN SINGH,571263,148843
1,KAKINADA(6),860,S016,KAKINADA,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491
128,KALAHANDI(11),369,S1811,KALAHANDI,MALVIKA DEVI,544303,133813
11,KALLAKURICHI(14),582,S2214,KALLAKURICHI,MALAIYARASAN D,561589,53784
3,KALYAN(24),3529,S1324,KALYAN,DR SHRIKANT EKNATH SHINDE,589636,209144
5,KANCHEEPURAM(6),582,S226,KANCHEEPURAM,SELVAM. G,586044,221473
130,KANDHAMAL(13),369,S1813,KANDHAMAL,SUKANTA KUMAR PANIGRAHI,416415,21371
58,KANGRA(1),369,S081,KANGRA,DR RAJEEV BHARDWAJ,632793,251895
208,KANKER(11),369,S2611,KANKER,BHOJRAJ NAG,597624,1884
17,KANNAUJ(42),1680,S2442,KANNAUJ,AKHILESH YADAV,642292,170922
78,KANNIYAKUMARI(39),742,S2239,KANNIYAKUMARI,VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
24,KANNUR(2),742,S112,KANNUR,K. SUDHAKARAN,518524,108982
172,KANPUR(43),369,S2443,KANPUR,RAMESH AWASTHI,443055,20968
196,KANTHI(31),369,S2531,KANTHI,ADHIKARI SOUMENDU,763195,47764
2,KARAKAT(35),545,S0435,KARAKAT,RAJA RAM SINGH,380581,105858
66,KARAULI-DHOLPUR(10),742,S2010,KARAULI-DHOLPUR,BHAJAN LAL JATAV,530011,98945
9,KARIMGANJ(7),369,S037,KARIMGANJ,KRIPANATH MALLAH,545093,18360
223,KARIMNAGAR(3),369,S293,KARIMNAGAR,BANDI SANJAY KUMAR,585116,225209
54,KARNAL(5),369,S075,KARNAL,MANOHAR LAL,739285,232577
72,KARUR(23),742,S2223,KARUR,JOTHIMANI. S,534906,166816
23,KASARAGOD(1),742,S111,KASARAGOD,RAJMOHAN UNNITHAN,490659,100649
5,KATIHAR(11),742,S0411,KATIHAR,TARIQ ANWAR,567092,49863
22,KAUSHAMBI(50),1680,S2450,KAUSHAMBI,PUSHPENDRA SAROJ,509787,103944
11,KAZIRANGA(10),369,S0310,KAZIRANGA,KAMAKHYA PRASAD TASA,897043,248947
132,KENDRAPARA(15),369,S1815,KENDRAPARA,BAIJAYANT PANDA,615705,66536
121,KEONJHAR(4),369,S184,KEONJHAR,ANANTA NAYAK,573923,97042
3,KHADOORSAHIB(3),743,S193,KHADOORSAHIB,AMRITPAL SINGH,404430,197120
4,KHAGARIA(25),3165,S0425,KHAGARIA,RAJESH VERMA,538657,161131
87,KHAJURAHO(8),369,S128,KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),772774,541229
96,KHAMMAM(17),742,S2917,KHAMMAM,RAMASAHAYAM RAGHURAM REDDY,766929,467847
107,KHANDWA(28),369,S1228,KHANDWA,GYANESHWAR PATIL,862679,269971
106,KHARGONE(27),369,S1227,KHARGONE,GAJENDRA SINGH PATEL,819863,135018
43,KHEDA(17),369,S0617,KHEDA,DEVUSINH CHAUHAN,744435,357758
11,KHERI(28),1680,S2428,KHERI,UTKARSH VERMA 'MADHUR',557365,34329
87,KHUNTI(11),742,S2711,KHUNTI,KALI CHARAN MUNDA,511647,149675
